GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finalServer,com.conversion,ConverterPublisher,16,0,0,0,5,0,2,0,2,0
finalServer,com.conversion,ConverterImpl,15,204,4,12,6,40,4,9,0,5
